FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
1701 	 438 	 LIGHT 	 99 	 S1 	 1672
1738 	 460 	 LIGHT 	 99 	 N2 	 1833
1768 	 467 	 LIGHT 	 99 	 N3 	 1833
1777 	 457 	 LIGHT 	 99 	 S2 	 1786
1788 	 469 	 LIGHT 	 99 	 N2 	 1680
1800 	 473 	 LIGHT 	 99 	 N3 	 1584
1822 	 462 	 LIGHT 	 99 	 S2 	 1720
1824 	 482 	 LIGHT 	 99 	 N2 	 2064
1854 	 486 	 LIGHT 	 93 	 N3 	 1755
1860 	 476 	 LIGHT 	 97 	 N2 	 1961
1866 	 490 	 LIGHT 	 92 	 N1 	 2580
1868 	 459 	 HEAVY 	 99 	 S3 	 5609
1870 	 471 	 LIGHT 	 94 	 S1 	 2350
1873 	 497 	 LIGHT 	 99 	 N3 	 2112
1884 	 501 	 LIGHT 	 96 	 N2 	 2250
1909 	 516 	 LIGHT 	 95 	 S1 	 2548
1910 	 479 	 HEAVY 	 96 	 S2 	 4958
1915 	 519 	 LIGHT 	 98 	 N3 	 2024
1916 	 514 	 LIGHT 	 95 	 N3 	 1980
1946 	 510 	 LIGHT 	 99 	 S1 	 1833
1948 	 525 	 LIGHT 	 91 	 N2 	 2208
1952 	 528 	 LIGHT 	 99 	 N3 	 1634
1966 	 517 	 LIGHT 	 99 	 S3 	 2090
1998 	 518 	 LIGHT 	 99 	 S2 	 1794
2014 	 547 	 LIGHT 	 99 	 N3 	 1845
2023 	 538 	 LIGHT 	 99 	 S1 	 2254
2030 	 544 	 HEAVY 	 99 	 N1 	 9072
2033 	 537 	 LIGHT 	 98 	 S2 	 2632
2042 	 554 	 LIGHT 	 99 	 N3 	 2064
2053 	 545 	 LIGHT 	 98 	 S2 	 2014
2053 	 530 	 LIGHT 	 97 	 S1 	 3304
2076 	 572 	 LIGHT 	 99 	 S1 	 1677
2086 	 567 	 LIGHT 	 98 	 N1 	 1785
2094 	 562 	 LIGHT 	 99 	 S1 	 2058
2100 	 534 	 LIGHT 	 99 	 S3 	 2280
2102 	 556 	 LIGHT 	 99 	 S2 	 2310
2104 	 588 	 LIGHT 	 99 	 N2 	 1672
2132 	 568 	 LIGHT 	 99 	 S1 	 2058
2137 	 594 	 LIGHT 	 99 	 N2 	 2000
2150 	 574 	 HEAVY 	 99 	 S2 	 8840
2172 	 591 	 LIGHT 	 98 	 S1 	 2496
2184 	 596 	 LIGHT 	 98 	 S2 	 1702
2186 	 612 	 LIGHT 	 99 	 N2 	 1739
2195 	 609 	 LIGHT 	 99 	 S1 	 2392
2214 	 602 	 LIGHT 	 95 	 S3 	 2640
2223 	 618 	 LIGHT 	 99 	 S2 	 1672
2226 	 622 	 LIGHT 	 95 	 N1 	 2451
2236 	 613 	 LIGHT 	 99 	 S3 	 2014
2254 	 633 	 HEAVY 	 99 	 N1 	 7482
2267 	 603 	 LIGHT 	 99 	 S2 	 1692
2268 	 628 	 LIGHT 	 99 	 S1 	 1920
2283 	 652 	 LIGHT 	 99 	 N2 	 1584
2288 	 645 	 LIGHT 	 99 	 N1 	 1836
2298 	 642 	 LIGHT 	 99 	 S1 	 1665
2308 	 634 	 LIGHT 	 98 	 S2 	 1833
2318 	 663 	 HEAVY 	 94 	 N1 	 3752
