FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
1360 	 2194 	 LIGHT 	 97 	 S1 	 1806
1374 	 2040 	 LIGHT 	 93 	 S2 	 1960
1376 	 2315 	 LIGHT 	 11 	 N1 	 1452
1402 	 2195 	 LIGHT 	 98 	 S2 	 1920
1416 	 2138 	 LIGHT 	 98 	 S3 	 2279
1438 	 2395 	 LIGHT 	 94 	 N2 	 2862
1439 	 2398 	 LIGHT 	 9 	 N3 	 1596
1470 	 2417 	 LIGHT 	 98 	 N2 	 1575
1471 	 2259 	 LIGHT 	 95 	 S1 	 2025
1515 	 2218 	 LIGHT 	 98 	 S2 	 1824
1521 	 2340 	 LIGHT 	 99 	 S1 	 2070
1542 	 2466 	 HEAVY 	 92 	 N2 	 4154
1596 	 2522 	 LIGHT 	 97 	 N2 	 1748
1598 	 2407 	 LIGHT 	 93 	 S1 	 2024
1624 	 2560 	 LIGHT 	 95 	 N1 	 1776
1636 	 2605 	 LIGHT 	 98 	 N3 	 1320
1656 	 2629 	 LIGHT 	 98 	 N2 	 1672
1670 	 2489 	 LIGHT 	 96 	 S1 	 1677
1700 	 2678 	 LIGHT 	 97 	 N3 	 1672
1701 	 2557 	 LIGHT 	 98 	 S1 	 1548
1737 	 2718 	 LIGHT 	 99 	 N2 	 1880
1768 	 2764 	 LIGHT 	 90 	 N3 	 1677
1778 	 2606 	 LIGHT 	 99 	 S2 	 1748
1788 	 2774 	 LIGHT 	 97 	 N2 	 1540
1800 	 2811 	 LIGHT 	 96 	 N3 	 1400
1822 	 2663 	 LIGHT 	 97 	 S2 	 1760
1824 	 2849 	 LIGHT 	 94 	 N2 	 2205
1852 	 2913 	 LIGHT 	 91 	 N3 	 1591
1860 	 2914 	 LIGHT 	 93 	 N2 	 1564
1866 	 2999 	 LIGHT 	 86 	 N1 	 2132
1866 	 2964 	 LIGHT 	 23 	 N1 	 2376
1868 	 2905 	 HEAVY 	 99 	 S3 	 5832
1870 	 2679 	 LIGHT 	 78 	 S1 	 2068
1870 	 3015 	 LIGHT 	 42 	 S1 	 1980
1872 	 2958 	 LIGHT 	 98 	 N3 	 1849
1885 	 2983 	 LIGHT 	 97 	 N2 	 2208
1907 	 2751 	 LIGHT 	 51 	 S2 	 3648
1908 	 2875 	 HEAVY 	 85 	 S2 	 4020
1909 	 3029 	 LIGHT 	 69 	 S1 	 2200
1909 	 2846 	 LIGHT 	 40 	 S1 	 2397
1914 	 3080 	 LIGHT 	 85 	 N3 	 1849
1914 	 3048 	 LIGHT 	 22 	 N3 	 1722
1946 	 2859 	 LIGHT 	 99 	 S1 	 1665
1948 	 3108 	 LIGHT 	 93 	 N2 	 2115
1948 	 3113 	 LIGHT 	 16 	 N2 	 2162
1952 	 3115 	 LIGHT 	 98 	 N3 	 1258
1966 	 2900 	 LIGHT 	 97 	 S3 	 1908
1998 	 2860 	 LIGHT 	 98 	 S2 	 1833
2014 	 3208 	 LIGHT 	 16 	 N3 	 1596
2021 	 3212 	 HEAVY 	 47 	 N1 	 4891
2022 	 2898 	 LIGHT 	 98 	 S1 	 2256
2031 	 3201 	 HEAVY 	 96 	 N1 	 10028
2033 	 2922 	 LIGHT 	 97 	 S2 	 2600
2042 	 3258 	 LIGHT 	 94 	 N3 	 2021
2052 	 3250 	 LIGHT 	 51 	 S1 	 3500
2053 	 3122 	 LIGHT 	 98 	 S2 	 1702
2053 	 3129 	 HEAVY 	 56 	 S1 	 3570
2075 	 3034 	 LIGHT 	 93 	 S1 	 1722
2085 	 3329 	 LIGHT 	 98 	 N1 	 1800
2094 	 3188 	 LIGHT 	 99 	 S1 	 2064
2100 	 3075 	 LIGHT 	 98 	 S3 	 2090
2102 	 3187 	 LIGHT 	 98 	 S2 	 2226
2104 	 3394 	 LIGHT 	 99 	 N2 	 1428
2132 	 3238 	 LIGHT 	 99 	 S1 	 1804
2136 	 3462 	 LIGHT 	 97 	 N2 	 1872
2151 	 3068 	 HEAVY 	 97 	 S2 	 9116
2172 	 3502 	 LIGHT 	 96 	 S1 	 2438
2184 	 3266 	 LIGHT 	 83 	 S2 	 1672
2186 	 3547 	 LIGHT 	 26 	 N2 	 1702
