FRM 	 ID 	 CLS 	 CNF 	 LANE 	 BBx
1788 	 537 	 LIGHT 	 90 	 N2 	 1575
1800 	 539 	 LIGHT 	 90 	 N3 	 1360
1822 	 521 	 LIGHT 	 83 	 S2 	 1755
1824 	 550 	 LIGHT 	 85 	 N2 	 2397
1852 	 560 	 LIGHT 	 89 	 N3 	 1554
1860 	 562 	 LIGHT 	 87 	 N2 	 1598
1866 	 564 	 LIGHT 	 85 	 N1 	 2365
1867 	 523 	 HEAVY 	 90 	 S3 	 5994
1870 	 534 	 LIGHT 	 86 	 S1 	 2499
1872 	 569 	 LIGHT 	 84 	 N3 	 1849
1884 	 571 	 LIGHT 	 66 	 N2 	 2254
1907 	 545 	 HEAVY 	 77 	 S2 	 4012
1908 	 547 	 LIGHT 	 57 	 S1 	 2295
1914 	 582 	 LIGHT 	 82 	 N3 	 1980
1946 	 575 	 LIGHT 	 90 	 S1 	 1710
1948 	 591 	 LIGHT 	 60 	 N2 	 2208
1951 	 595 	 LIGHT 	 89 	 N3 	 1558
1966 	 573 	 LIGHT 	 90 	 S3 	 1908
1998 	 572 	 LIGHT 	 91 	 S2 	 1739
2013 	 613 	 LIGHT 	 83 	 N3 	 1512
2022 	 584 	 LIGHT 	 86 	 S1 	 2162
2030 	 612 	 HEAVY 	 93 	 N1 	 9309
2032 	 583 	 LIGHT 	 56 	 S2 	 2550
2042 	 619 	 LIGHT 	 69 	 N3 	 1932
2053 	 599 	 LIGHT 	 91 	 S2 	 1786
2053 	 601 	 LIGHT 	 51 	 S1 	 3392
2076 	 604 	 LIGHT 	 90 	 S1 	 1638
2085 	 633 	 LIGHT 	 87 	 N1 	 1715
2094 	 607 	 LIGHT 	 88 	 S1 	 1932
2099 	 609 	 LIGHT 	 91 	 S3 	 1976
2102 	 617 	 LIGHT 	 75 	 S2 	 2288
2104 	 652 	 LIGHT 	 90 	 N2 	 1584
2132 	 620 	 LIGHT 	 90 	 S1 	 2021
2137 	 663 	 LIGHT 	 88 	 N2 	 1968
2150 	 616 	 HEAVY 	 95 	 S2 	 8652
2172 	 665 	 LIGHT 	 67 	 S1 	 2392
2184 	 655 	 LIGHT 	 85 	 S2 	 1584
2186 	 674 	 LIGHT 	 88 	 N2 	 1620
2195 	 661 	 LIGHT 	 71 	 S1 	 2303
2214 	 671 	 LIGHT 	 88 	 S3 	 2754
2223 	 670 	 LIGHT 	 77 	 S2 	 1591
2226 	 681 	 LIGHT 	 50 	 N1 	 2392
2236 	 667 	 LIGHT 	 91 	 S3 	 1938
2254 	 690 	 HEAVY 	 91 	 N1 	 7055
2267 	 672 	 LIGHT 	 87 	 S2 	 1710
2268 	 673 	 LIGHT 	 84 	 S1 	 1932
2283 	 707 	 LIGHT 	 90 	 N2 	 1428
2286 	 703 	 LIGHT 	 85 	 N1 	 1836
2299 	 686 	 LIGHT 	 88 	 S1 	 1628
2308 	 685 	 LIGHT 	 81 	 S2 	 1920
2317 	 713 	 LIGHT 	 40 	 N1 	 3304
2325 	 717 	 LIGHT 	 89 	 N2 	 1911
2335 	 697 	 LIGHT 	 82 	 S2 	 3304
2343 	 699 	 LIGHT 	 83 	 S1 	 1840
